                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    207,                0.55882,                0.29288,                0.91056,                0.98528,                 0.9747,                 0.9814,                0.79936,                0.87228,                0.33799,                 1.0417,              0.0079705,              0.0079705,              0.0079705
                    208,                0.55959,                 0.2924,                0.91165,                0.97676,                0.96714,                0.98325,                0.79677,                0.87179,                0.35555,                 1.0462,              0.0079606,              0.0079606,              0.0079606
                    209,                0.55271,                0.29048,                0.90672,                 0.9813,                0.96432,                0.98654,                0.79862,                0.88582,                0.35284,                 1.0555,              0.0079507,              0.0079507,              0.0079507
                    210,                0.54852,                0.28602,                0.90261,                0.98797,                0.97771,                0.98744,                0.80519,                0.87049,                0.33886,                  1.047,              0.0079408,              0.0079408,              0.0079408
                    211,                0.54202,                0.29084,                0.90898,                0.98707,                0.97556,                 0.9866,                0.80362,                0.87276,                0.33291,                 1.0481,              0.0079309,              0.0079309,              0.0079309
                    212,                0.54532,                0.29382,                0.90169,                0.98151,                0.96667,                0.98856,                0.80729,                0.88046,                0.34592,                 1.0457,               0.007921,               0.007921,               0.007921
                    213,                0.54332,                0.28676,                 0.9038,                0.98531,                 0.9808,                 0.9874,                0.80498,                  0.884,                0.33178,                 1.0436,              0.0079111,              0.0079111,              0.0079111
                    214,                0.54393,                 0.2915,                0.90581,                0.97909,                0.97011,                0.98473,                0.79476,                0.89453,                0.35664,                  1.057,              0.0079012,              0.0079012,              0.0079012
                    215,                0.54419,                0.28987,                0.90836,                0.98947,                0.98099,                0.98693,                0.79433,                0.88726,                0.33616,                 1.0532,              0.0078913,              0.0078913,              0.0078913
                    216,                0.54511,                0.28902,                0.90156,                0.98982,                0.98143,                0.98714,                0.80236,                0.88181,                0.33739,                 1.0513,              0.0078814,              0.0078814,              0.0078814
                    217,                0.54328,                0.29067,                0.90508,                0.98106,                 0.9696,                0.98622,                0.79868,                0.89069,                0.34616,                 1.0536,              0.0078715,              0.0078715,              0.0078715
                    218,                0.53791,                0.28442,                0.90213,                0.98819,                0.97957,                0.98782,                0.79836,                0.88884,                0.33472,                 1.0504,              0.0078616,              0.0078616,              0.0078616
                    219,                 0.5377,                0.28331,                 0.9053,                0.99039,                0.98445,                0.98798,                0.80288,                0.88776,                0.33751,                 1.0502,              0.0078517,              0.0078517,              0.0078517
